concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000000002	person_id	person	BD Mapping	person	S	2000000002	2016-01-01	2099-12-31	
2000000003	gender_concept_id	person	BD Mapping	person	S	2000000003	2016-01-01	2099-12-31	
2000000004	year_of_birth	person	BD Mapping	person	S	2000000004	2016-01-01	2099-12-31	
2000000005	month_of_birth	person	BD Mapping	person	S	2000000005	2016-01-01	2099-12-31	
2000000006	day_of_birth	person	BD Mapping	person	S	2000000006	2016-01-01	2099-12-31	
2000000007	birth_datetime	person	BD Mapping	person	S	2000000007	2016-01-01	2099-12-31	
2000000008	death_datetime	person	BD Mapping	person	S	2000000008	2016-01-01	2099-12-31	
2000000009	race_concept_id	person	BD Mapping	person	S	2000000009	2016-01-01	2099-12-31	
2000000010	ethnicity_concept_id	person	BD Mapping	person	S	2000000010	2016-01-01	2099-12-31	
2000000011	location_id	person	BD Mapping	person	S	2000000011	2016-01-01	2099-12-31	
2000000012	provider_id	person	BD Mapping	person	S	2000000012	2016-01-01	2099-12-31	
2000000013	care_site_id	person	BD Mapping	person	S	2000000013	2016-01-01	2099-12-31	
2000000014	person_source_value	person	BD Mapping	person	S	2000000014	2016-01-01	2099-12-31	
2000000015	gender_source_value	person	BD Mapping	person	S	2000000015	2016-01-01	2099-12-31	
2000000016	gender_source_concept_id	person	BD Mapping	person	S	2000000016	2016-01-01	2099-12-31	
2000000017	race_source_value	person	BD Mapping	person	S	2000000017	2016-01-01	2099-12-31	
2000000018	race_source_concept_id	person	BD Mapping	person	S	2000000018	2016-01-01	2099-12-31	
2000000019	ethnicity_source_value	person	BD Mapping	person	S	2000000019	2016-01-01	2099-12-31	
2000000020	ethnicity_source_concept_id	person	BD Mapping	person	S	2000000020	2016-01-01	2099-12-31	
2000000021	observation_id	observation	BD Mapping	observation	S	2000000021	2016-01-01	2099-12-31	
2000000022	person_id	observation	BD Mapping	observation	S	2000000022	2016-01-01	2099-12-31	
2000000023	observation_concept_id	observation	BD Mapping	observation	S	2000000023	2016-01-01	2099-12-31	
2000000024	observation_date	observation	BD Mapping	observation	S	2000000024	2016-01-01	2099-12-31	
2000000025	observation_datetime	observation	BD Mapping	observation	S	2000000025	2016-01-01	2099-12-31	
2000000026	observation_type_concept_id	observation	BD Mapping	observation	S	2000000026	2016-01-01	2099-12-31	
2000000027	value_as_number	observation	BD Mapping	observation	S	2000000027	2016-01-01	2099-12-31	
2000000028	value_as_string	observation	BD Mapping	observation	S	2000000028	2016-01-01	2099-12-31	
2000000029	value_as_concept_id	observation	BD Mapping	observation	S	2000000029	2016-01-01	2099-12-31	
2000000030	unit_concept_id	observation	BD Mapping	observation	S	2000000030	2016-01-01	2099-12-31	
2000000031	provider_id	observation	BD Mapping	observation	S	2000000031	2016-01-01	2099-12-31	
2000000032	visit_occurrence_id	observation	BD Mapping	observation	S	2000000032	2016-01-01	2099-12-31	
2000000033	visit_detail_id	observation	BD Mapping	observation	S	2000000033	2016-01-01	2099-12-31	
2000000034	observation_source_value	observation	BD Mapping	observation	S	2000000034	2016-01-01	2099-12-31	
2000000035	observation_source_concept_id	observation	BD Mapping	observation	S	2000000035	2016-01-01	2099-12-31	
2000000036	unit_source_value	observation	BD Mapping	observation	S	2000000036	2016-01-01	2099-12-31	
2000000037	qualifier_source_value	observation	BD Mapping	observation	S	2000000037	2016-01-01	2099-12-31	
2000000038	observation_period_id         	observation_period	BD Mapping	observation_period	S	2000000038	2016-01-01	2099-12-31	
2000000039	person_id                     	observation_period	BD Mapping	observation_period	S	2000000039	2016-01-01	2099-12-31	
2000000040	observation_period_start_date 	observation_period	BD Mapping	observation_period	S	2000000040	2016-01-01	2099-12-31	
2000000041	observation_period_end_date   	observation_period	BD Mapping	observation_period	S	2000000041	2016-01-01	2099-12-31	
2000000042	period_type_concept_id	observation_period	BD Mapping	observation_period	S	2000000042	2016-01-01	2099-12-31	
2000000043	visit_occurrence_id	visit_occurrence	BD Mapping	visit_occurrence	S	2000000043	2016-01-01	2099-12-31	
2000000044	person_id	visit_occurrence	BD Mapping	visit_occurrence	S	2000000044	2016-01-01	2099-12-31	
2000000045	visit_concept_id	visit_occurrence	BD Mapping	visit_occurrence	S	2000000045	2016-01-01	2099-12-31	
2000000046	visit_start_date	visit_occurrence	BD Mapping	visit_occurrence	S	2000000046	2016-01-01	2099-12-31	
2000000047	visit_start_datetime	visit_occurrence	BD Mapping	visit_occurrence	S	2000000047	2016-01-01	2099-12-31	
2000000048	visit_end_date	visit_occurrence	BD Mapping	visit_occurrence	S	2000000048	2016-01-01	2099-12-31	
2000000049	visit_end_datetime	visit_occurrence	BD Mapping	visit_occurrence	S	2000000049	2016-01-01	2099-12-31	
2000000050	visit_type_concept_id	visit_occurrence	BD Mapping	visit_occurrence	S	2000000050	2016-01-01	2099-12-31	
2000000051	provider_id	visit_occurrence	BD Mapping	visit_occurrence	S	2000000051	2016-01-01	2099-12-31	
2000000052	care_site_id	visit_occurrence	BD Mapping	visit_occurrence	S	2000000052	2016-01-01	2099-12-31	
2000000053	visit_source_value	visit_occurrence	BD Mapping	visit_occurrence	S	2000000053	2016-01-01	2099-12-31	
2000000054	visit_source_concept_id	visit_occurrence	BD Mapping	visit_occurrence	S	2000000054	2016-01-01	2099-12-31	
2000000055	admitting_source_concept_id	visit_occurrence	BD Mapping	visit_occurrence	S	2000000055	2016-01-01	2099-12-31	
2000000056	admitting_source_value	visit_occurrence	BD Mapping	visit_occurrence	S	2000000056	2016-01-01	2099-12-31	
2000000057	discharge_to_concept_id	visit_occurrence	BD Mapping	visit_occurrence	S	2000000057	2016-01-01	2099-12-31	
2000000058	discharge_to_source_value	visit_occurrence	BD Mapping	visit_occurrence	S	2000000058	2016-01-01	2099-12-31	
2000000059	preceding_visit_occurrence_id	visit_occurrence	BD Mapping	visit_occurrence	S	2000000059	2016-01-01	2099-12-31	
