ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
2000000002	2000000002	0	0
2000000003	2000000003	0	0
2000000004	2000000004	0	0
2000000005	2000000005	0	0
2000000006	2000000006	0	0
2000000007	2000000007	0	0
2000000008	2000000008	0	0
2000000009	2000000009	0	0
2000000010	2000000010	0	0
2000000011	2000000011	0	0
2000000012	2000000012	0	0
2000000013	2000000013	0	0
2000000014	2000000014	0	0
2000000015	2000000015	0	0
2000000016	2000000016	0	0
2000000017	2000000017	0	0
2000000018	2000000018	0	0
2000000019	2000000019	0	0
2000000020	2000000020	0	0
2000000021	2000000021	0	0
2000000022	2000000022	0	0
2000000023	2000000023	0	0
2000000024	2000000024	0	0
2000000025	2000000025	0	0
2000000026	2000000026	0	0
2000000027	2000000027	0	0
2000000028	2000000028	0	0
2000000029	2000000029	0	0
2000000030	2000000030	0	0
2000000031	2000000031	0	0
2000000032	2000000032	0	0
2000000033	2000000033	0	0
2000000034	2000000034	0	0
2000000035	2000000035	0	0
2000000036	2000000036	0	0
2000000037	2000000037	0	0
2000000038	2000000038	0	0
2000000039	2000000039	0	0
2000000040	2000000040	0	0
2000000041	2000000041	0	0
2000000042	2000000042	0	0
2000000043	2000000043	0	0
2000000044	2000000044	0	0
2000000045	2000000045	0	0
2000000046	2000000046	0	0
2000000047	2000000047	0	0
2000000048	2000000048	0	0
2000000049	2000000049	0	0
2000000050	2000000050	0	0
2000000051	2000000051	0	0
2000000052	2000000052	0	0
2000000053	2000000053	0	0
2000000054	2000000054	0	0
2000000055	2000000055	0	0
2000000056	2000000056	0	0
2000000057	2000000057	0	0
2000000058	2000000058	0	0
2000000059	2000000059	0	0
