concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000000001	AD EMIF	Metadata	Vocabulary	Vocabulary		OMOP generated	1970-01-01	2099-12-31	
2000000259	Fact	Metadata	Domain	Domain	S	OMOP generated	2016-10-01	2099-12-31	
2000000265	Fact Type	Metadata	Concept Class	Concept Class		AD EMIF generated	2016-07-01	2099-01-31	
2000000268	fact	Metadata	Concept Class	Concept Class		AD EMIF generated	2016-07-01	2099-01-31	
2000000269	fact_value	Metadata	Concept Class	Concept Class		AD EMIF generated	2016-07-01	2099-01-31	
2000000296	Condition Code	Metadata	Concept Class	Concept Class		AD EMIF generated	2016-01-01	2099-12-31	
2000000002	ADASCog-11 total	fact	AD EMIF	fact	S	2000000002	2016-01-01	2099-12-31	
2000000003	ADASCog-13 total	fact	AD EMIF	fact	S	2000000003	2016-01-01	2099-12-31	
2000000004	ADCS-ADL	fact	AD EMIF	fact	S	2000000004	2016-01-01	2099-12-31	
2000000005	ADCS-ADL abnormality	fact	AD EMIF	fact	S	2000000005	2016-01-01	2099-12-31	
2000000006	Age at enrollment	fact	AD EMIF	fact	S	2000000006	2016-01-01	2099-12-31	
2000000007	Age at exit	fact	AD EMIF	fact	S	2000000007	2016-01-01	2099-12-31	
2000000008	Albumin	fact	AD EMIF	fact	S	2000000008	2016-01-01	2099-12-31	
2000000009	Animals fluency 1 min	fact	AD EMIF	fact	S	2000000009	2016-01-01	2099-12-31	
2000000010	Animals fluency 1 min z-score	fact	AD EMIF	fact	S	2000000010	2016-01-01	2099-12-31	
2000000011	Animals fluency 2 min	fact	AD EMIF	fact	S	2000000011	2016-01-01	2099-12-31	
2000000012	Animals fluency 2 min z-score	fact	AD EMIF	fact	S	2000000012	2016-01-01	2099-12-31	
2000000013	APOE genotype	fact	AD EMIF	fact	S	2000000013	2016-01-01	2099-12-31	
2000000014	APOE4 carrier	fact	AD EMIF	fact	S	2000000014	2016-01-01	2099-12-31	
2000000015	AVLT delayed	fact	AD EMIF	fact	S	2000000015	2016-01-01	2099-12-31	
2000000016	AVLT delayed z-score	fact	AD EMIF	fact	S	2000000016	2016-01-01	2099-12-31	
2000000017	AVLT immediate	fact	AD EMIF	fact	S	2000000017	2016-01-01	2099-12-31	
2000000018	AVLT immediate z-score	fact	AD EMIF	fact	S	2000000018	2016-01-01	2099-12-31	
2000000019	BADL	fact	AD EMIF	fact	S	2000000019	2016-01-01	2099-12-31	
2000000020	BDI	fact	AD EMIF	fact	S	2000000020	2016-01-01	2099-12-31	
2000000021	BDI abnormality	fact	AD EMIF	fact	S	2000000021	2016-01-01	2099-12-31	
2000000022	BEM144 figure	fact	AD EMIF	fact	S	2000000022	2016-01-01	2099-12-31	
2000000023	BEM144 figure z-score	fact	AD EMIF	fact	S	2000000023	2016-01-01	2099-12-31	
2000000024	Barthel index	fact	AD EMIF	fact	S	2000000024	2016-01-01	2099-12-31	
2000000025	Barthel index abnormality	fact	AD EMIF	fact	S	2000000025	2016-01-01	2099-12-31	
2000000026	Boston naming test - 15 items	fact	AD EMIF	fact	S	2000000026	2016-01-01	2099-12-31	
2000000027	Boston naming test - 15 items z-score	fact	AD EMIF	fact	S	2000000027	2016-01-01	2099-12-31	
2000000028	Boston naming test - 30 items	fact	AD EMIF	fact	S	2000000028	2016-01-01	2099-12-31	
2000000029	Boston naming test - 30 items z-score	fact	AD EMIF	fact	S	2000000029	2016-01-01	2099-12-31	
2000000030	Boston naming test - 60 items	fact	AD EMIF	fact	S	2000000030	2016-01-01	2099-12-31	
2000000031	Boston naming test - 60 items z-score	fact	AD EMIF	fact	S	2000000031	2016-01-01	2099-12-31	
2000000032	Category Fluency	fact	AD EMIF	fact	S	2000000032	2016-01-01	2099-12-31	
2000000033	Category fluency sum of 3	fact	AD EMIF	fact	S	2000000033	2016-01-01	2099-12-31	
2000000034	Cognitive complaints questionnaire	fact	AD EMIF	fact	S	2000000034	2016-01-01	2099-12-31	
2000000035	Cognitive complaints questionnaire abnormality	fact	AD EMIF	fact	S	2000000035	2016-01-01	2099-12-31	
2000000036	Clinical dementia rating	fact	AD EMIF	fact	S	2000000036	2016-01-01	2099-12-31	
