sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
20190510 EMIF Blood and CSF.csv,CSF Liquor - erythrocytes,-1,,0.08824317902326584,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF Liqour - protein,-1,,0.11858782172203064,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF Liqour - lactate,-1,,0.18862341344356537,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF_GesProt,-1,,0.12165453284978867,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF alpha Synuclein,-1,,0.15595713257789612,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF Albumin in Liquor,-1,,0.6053526997566223,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF Liqour - glucosis,-1,,0.44293686747550964,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF Liqour - haemoglobin,-1,,0.15912115573883057,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF Albumin ratio L/S,-1,,0.5887771844863892,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,Folsäure,-1,,0.07427090406417847,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF Liquor - cell count,-1,,0.21758511662483215,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF IgG ratio L/S,-1,,0.12188543379306793,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF IgA ratio L/S,-1,,0.18358401954174042,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF Albumin in Serum,-1,,0.6450435519218445,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CRP,-1,,0.1197088211774826,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF IgM ratio L/S ,-1,,0.1147027537226677,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,Hb1Ac,-1,,0.10538627952337265,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF IgG in Serum ,-1,,0.4903160631656647,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF IgG in Liquor,-1,,0.13996800780296326,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF IgA in Serum ,-1,,0.4871639907360077,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF IgM in Serum ,-1,,0.4905182123184204,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF IgA in Liquor ,-1,,0.11695706844329834,APPROVED,0,does not need to be included
20190510 EMIF Blood and CSF.csv,CSF IgM in Liquor ,-1,,0.11561983823776245,APPROVED,0,does not need to be included
20190510 EMIF Diagnosis.csv,Onset of Symptoms,-1,,0.10281103104352951,APPROVED,0,does not need to be included
20190510 EMIF Patient Data.csv,Date of Admission,-1,,0.30038440227508545,APPROVED,0,does not need to be included
Etiology,Other neurodegenerative diseases,-1,,0.0,APPROVED,0,does not need to be included
20190510 EMIF Neuropsychology.csv,CDR,-1,,0.6340862512588501,INVALID_TARGET,0,check whether its global or sum of boxes
20190510 EMIF Neuropsychology.csv,Boston Naming Test ,-1,,0.7024139761924744,INVALID_TARGET,0,"could be 15, 30 or 60 item version"
20190510 EMIF Patient Data.csv,Date of birth,-1,,0.3551342785358429,APPROVED,0,http://www.semanticweb.org/acortesc/ontologies/2014/6/untitled-ontology-18#BirthYear
20190510 EMIF Diagnosis.csv,Number of Visit,-1,,0.45569565892219543,INVALID_TARGET,0,should be linked to date of follow up http://www.semanticweb.org/emif/ontologies/2015/AD/DateFollow-up and follow-up time http://www.semanticweb.org/emif/ontologies/2015/AD/RtGaQbZDipTC19m6Ml3Xmg
20190510 EMIF Blood and CSF.csv,TSH,-1,,1.0,UNCHECKED,2000000694,
20190510 EMIF Neuropsychology.csv,Cerad Figures delayed,-1,,0.8045194745063782,APPROVED,2000000695,incorrect; no good option available
