sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
testmnd,month of testing,-1,,0.26601701974868774,APPROVED,2000000024,
Gebmnd,month of birth,-1,,0.4617176949977875,APPROVED,2000000005,
testdag,day of testing,-1,,0.1492171585559845,APPROVED,2000000024,
NOB_VOLGNR,Meet moment,-1,,0.07450183480978012,APPROVED,2000000024,
Sex,sex,-1,,0.06490889936685562,APPROVED,2000000015,
Sex,sex,-1,,0.06490889936685562,APPROVED,2000000003,
PIN,Subject ID,-1,,0.03638267517089844,APPROVED,2000000014,
PIN,Subject ID,-1,,0.03638267517089844,APPROVED,2000000002,
PIN,Subject ID,-1,,0.03638267517089844,APPROVED,2000000022,
Gebjr,year of birth,-1,,0.4465876519680023,APPROVED,2000000004,
MAA_NR,other subject ID,-1,,0.02642689272761345,APPROVED,2000000014,
testjr,year of testing,-1,,0.23451024293899536,APPROVED,2000000024,
Gebdag,day of birth,-1,,0.3722049295902252,APPROVED,2000000006,
