sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
NPIB,Motion restlessness,-1,,0.2565906345844269,APPROVED,2000000549,This variable doesn't need to be uploaded
STROOP_VERS,Stroop version,-1,,0.5229401588439941,APPROVED,2000000618,This variable doesn't need to be uploaded. Only upload Stroop scores when Stroop version = 10
MRIDTSyr,Year of MRI,-1,,0.3961317539215088,APPROVED,2000000481,
ENDDO,Other,-1,,0.514582097530365,APPROVED,2000000405,
TOBACOTYP1,Smoke type cigar,-1,,0.3003791272640228,APPROVED,2000000435,This variable doesn't need to be uploaded
NPIAf,Frequency anxiety,-1,,0.7221848368644714,APPROVED,2000000331,This variable doesn't need to be uploaded
WLT2,Number correct,-1,,0.4034518897533417,APPROVED,2000000451,This variable doesn't need to be uploaded
SDMT90SF,90 sec writing mistakes,-1,,0.1739104986190796,APPROVED,2000000424,
STR1,Stroop 1 (sec),-1,,0.44544732570648193,APPROVED,2000000276,
WLT2F,Mistakes,-1,,0.20755517482757568,APPROVED,2000000426,This variable doesn't need to be uploaded
NPIAe,Severity fear,-1,,0.4357158839702606,APPROVED,2000000682,This variable doesn't need to be uploaded
TOBACOTYP2,Smoke type cigarette,-1,,0.2696198523044586,APPROVED,2000000435,This variable doesn't need to be uploaded
SDMT30L,30 sec reading,-1,,0.34644174575805664,APPROVED,2000000590,This variable doesn't need to be uploaded
QCOMPLETED,Questionnaire administered? (GDS),-1,,0.220336452126503,APPROVED,2000000562,This variable doesn't need to be uploaded
ENDD4,Endocriene diagnose,-1,,0.5924160480499268,APPROVED,2000000405,
NPIBf,Frequency of movement unrest,-1,,0.24133378267288208,APPROVED,2000000316,This variable doesn't need to be uploaded
STR1F,Stroop 1 mistakes,-1,,0.46494781970977783,APPROVED,2000000618,This variable doesn't need to be uploaded
WLT2D,doubles,-1,,0.19961050152778625,APPROVED,2000000337,This variable doesn't need to be uploaded
FEA,Frequency x severity anxiety,-1,,0.5724189877510071,APPROVED,2000000331,This variable doesn't need to be uploaded
TOBACOTYP3,Smoke type pipe tobacco,-1,,0.2509298026561737,APPROVED,2000000435,This variable doesn't need to be uploaded
GDSSCORE,Totaal score Geriatric Depression Scale,-1,,0.7943065762519836,APPROVED,2000000564,
