sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
ALCOH2_TXT,open text ,-1,,0.22410883009433746,APPROVED,2000000324,Combine with ALCOH2 into Alcohol_Amount
CST02,CST0 (sec),-1,,0.09175530076026917,APPROVED,2000000708,Has been added to webprotege --> Concept Shifting Task
lacinf,lacunaire infarcten,-1,,0.39651480317115784,APPROVED,2000000727,Has been added to webprotege --> MRI measures>Lacunar infarcts
CST03,CST0 (sec),-1,,0.09175530076026917,APPROVED,2000000708,Has been added to webprotege. CST0 is the avarage of CST01/CST02 & CST03
NPIHb,Tax for the social worker,-1,,0.21435268223285675,APPROVED,0,if DIAG=3 then this variable shows the type of other dementia
otherdem,if DIAG=3 then this variable shows the type of other dementia,-1,,0.4066680371761322,APPROVED,0,if DIAG=3 then this variable shows the type of other dementia. Using coding in codebook
CEVD3,Cerebrovasculaire diagnose,-1,,0.6578267216682434,APPROVED,2000000403,If something is mentioned Other Cerebrovascular Disorders should be yes
CAVD7,Cardiovasculaire diagnose,-1,,0.5987737774848938,APPROVED,2000000400,"If there is text in CAVD7, Other Cardiovascular Disorders should be Yes"
SOMD4,Somatische diagnose,-1,,0.5386455655097961,APPROVED,2000000412,If there is text in this variable Somatic Disorders=Yes
TMTC,TMTC (sec),-1,,0.2404145896434784,APPROVED,2000000212,If TMTVERS = ABC then TMTC = TMT-B. TMTB doens't need to be uploaded 
PSYCHOS,Psychosis,-1,,0.43290039896965027,APPROVED,2000000410,If yes then Other Psychiatric Disorder should be yes
CARDIOVASCYN,Cardiovasculair Disorders?,-1,,0.8350533246994019,APPROVED,2000000400,"JA: I need help to know what means 1, 2 and NASK"
WGOED1,GIT fluency1 correct,-1,,0.46021416783332825,APPROVED,0,JA: if wmod1 = 'dieren'
WGOED2,GIT fluency2 correct,-1,,0.46256840229034424,APPROVED,0,JA: if wmod2 = 'dieren'
ALCOH2,Number of units (per week),-1,,0.2136678397655487,APPROVED,2000000324,JA: Needs clarification
VATvorm,VAT: Short / long,-1,,0.254441499710083,APPROVED,2000000215,JA: use this to choose vat-12 or 24 for vattot
VATvorm,VAT: Short / long,-1,,0.254441499710083,APPROVED,2000000216,JA: use this to choose vat-12 or 24 for vattot
VATtot,VAT totalscore,-1,,0.4264907240867615,APPROVED,2000000215,JA: use vatvorm to choose vat-12 or 24
VATtot,VAT totalscore,-1,,0.4264907240867615,APPROVED,2000000216,JA: use vatvorm to choose vat-12 or 24
CSTA,CSTA (sec),-1,,0.14325959980487823,APPROVED,2000000709,Needs to be added to webprotege
CSTB,CSTB (sec),-1,,0.07835384458303452,APPROVED,2000000711,Needs to be added to webprotege
RBMT_VAO,RBMT immediate A / C reproduction,-1,,0.34496569633483887,APPROVED,2000000613,RBMT_VAO + RBMT_VBO = SRT_Immediate
RBMT_VAU,RBMT deferred reproduction A / C,-1,,0.15339751541614532,APPROVED,2000000611,RBMT_VAU + RBMT_VBU = SRT_Delayed
RBMT_VBO,RBMT immediate B / D reproduction,-1,,0.33909720182418823,APPROVED,2000000613,RBMT_VBO + RBMT_VAO = Story_Recall_Immediate
RBMT_VBU,RBMT deferred reproduction B / D,-1,,0.14228792488574982,APPROVED,2000000611,RBMT_VBU + RBMT_VAU = SRT_Delayed
DADTOTPERCENT,DAD totaal (%),-1,,0.19814585149288177,APPROVED,2000000749,Should be added to Webprotege
MAA_NR,other subject ID,-1,,0.4419800639152527,APPROVED,0,SubjectID
CSTC,CSTC (sec),-1,,0.0800849124789238,APPROVED,2000000713,Test has been added to webprotege --> Concept Shifting Task
CST01,CST0 (sec),-1,,0.09175530076026917,APPROVED,2000000708,Test has been added to webprotege --> Neuropsychological Examination>Attention/Executive Functioning> Concept Shifting Test
NPIB,Motion restlessness,-1,,0.2565906345844269,APPROVED,0,This variable doesn't need to be uploaded
TOBACOTYP1,Smoke type cigar,-1,,0.3003791272640228,APPROVED,0,This variable doesn't need to be uploaded
NPIAf,Frequency anxiety,-1,,0.7221848368644714,APPROVED,0,This variable doesn't need to be uploaded
WLT2,Number correct,-1,,0.4034518897533417,APPROVED,0,This variable doesn't need to be uploaded
WLT2F,Mistakes,-1,,0.20755517482757568,APPROVED,0,This variable doesn't need to be uploaded
NPIAe,Severity fear,-1,,0.4357158839702606,APPROVED,0,This variable doesn't need to be uploaded
TOBACOTYP2,Smoke type cigarette,-1,,0.2696198523044586,APPROVED,0,This variable doesn't need to be uploaded
SDMT30L,30 sec reading,-1,,0.34644174575805664,APPROVED,0,This variable doesn't need to be uploaded
QCOMPLETED,Questionnaire administered? (GDS),-1,,0.220336452126503,APPROVED,0,This variable doesn't need to be uploaded
NPIBf,Frequency of movement unrest,-1,,0.24133378267288208,APPROVED,0,This variable doesn't need to be uploaded
STR1F,Stroop 1 mistakes,-1,,0.46494781970977783,APPROVED,0,This variable doesn't need to be uploaded
WLT2D,doubles,-1,,0.19961050152778625,APPROVED,0,This variable doesn't need to be uploaded
FEA,Frequency x severity anxiety,-1,,0.5724189877510071,APPROVED,0,This variable doesn't need to be uploaded
TOBACOTYP3,Smoke type pipe tobacco,-1,,0.2509298026561737,APPROVED,0,This variable doesn't need to be uploaded
WLT3,Number correct,-1,,0.4034518897533417,APPROVED,0,This variable doesn't need to be uploaded
NPIBe,Severity of movement disorder,-1,,0.40481123328208923,APPROVED,0,This variable doesn't need to be uploaded
SDMT30LF,30 sec reading mistakes,-1,,0.3158271908760071,APPROVED,0,This variable doesn't need to be uploaded
STR1C,Stroop 1 corr.,-1,,0.45597848296165466,APPROVED,0,This variable doesn't need to be uploaded
NPIAb,Tax for the social worker,-1,,0.21435268223285675,APPROVED,0,This variable doesn't need to be uploaded
TOBACOTYPNLFL,Smoke type missing,-1,,0.368108332157135,APPROVED,0,This variable doesn't need to be uploaded
WLT3F,Mistakes,-1,,0.20755517482757568,APPROVED,0,This variable doesn't need to be uploaded
QCOMPLETED15,Questionnaire administered? (HDRS),-1,,0.2173125445842743,APPROVED,0,This variable doesn't need to be uploaded
