sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
MRIDTSyr,Year of MRI,-1,,0.3961317539215088,2000000481,Date MRI,Concept Class,Imaging,S,0,0,Concept Class,2000000481,2019-01-01,2099-12-31,
STR1,Stroop 1 (sec),-1,,0.44544732570648193,2000000276,Stroop Part 1,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000276,2019-01-01,2099-12-31,
PSYCHDIAGYN,Psychiatric disorders?,-1,,0.9382681846618652,2000000642,Psychiatric Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000410,2019-01-01,2099-12-31,
STR2,Stroop 2 (sec),-1,,0.4483553171157837,2000000278,Stroop Part 2,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000278,2019-01-01,2099-12-31,
DEPDS,Depression,-1,,1.0,2000000470,Depression,Concept Class,Clinical Information,S,0,0,Concept Class,2000000470,2019-01-01,2099-12-31,
HDRSTOT,HDRS totoaalscore,-1,,0.2257409542798996,2000000121,HDS,Concept Class,Rating Scales,S,0,0,Concept Class,2000000121,2019-01-01,2099-12-31,
TMTB,TMTB (sec),-1,,0.2355530709028244,2000000212,TMT-B,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000212,2019-01-01,2099-12-31,
ALCOH,Does patient drink alcohol?,-1,,0.45596566796302795,2000000323,Alcohol,Concept Class,Clinical Information,S,0,0,Concept Class,2000000323,2019-01-01,2099-12-31,
ENDODIAGYN,Endocrine disorders?,-1,,0.9405816793441772,2000000640,Endocrine Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000405,2019-01-01,2099-12-31,
ALCOH2,Number of units (per week),-1,,0.2136678397655487,2000000324,Alcohol Amount,Concept Class,Clinical Information,S,0,0,Concept Class,2000000324,2019-01-01,2099-12-31,
CDR02,Orientation,-1,,0.7327530980110168,2000000041,CDR Orientation,Concept Class,Rating Scales,S,0,0,Concept Class,2000000041,2019-01-01,2099-12-31,
CDR03,Judgement and problem solving,-1,,0.9057110548019409,2000000039,CDR Judgement and Problem Solving,Concept Class,Rating Scales,S,0,0,Concept Class,2000000039,2019-01-01,2099-12-31,
DIABML,Diabetes mellitus,-1,,1.0,2000000363,Diabetes Mellitus,Concept Class,Clinical Information,S,0,0,Concept Class,2000000363,2019-01-01,2099-12-31,
LENGTE,Length (cm),-1,,0.8540087938308716,2000000388,Body Length (cm),Concept Class,Clinical Information,S,0,0,Concept Class,2000000388,2019-01-01,2099-12-31,
DIGSPANVW,Digit span forward,-1,,1.0,2000000084,Digit Span Forward,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000084,2019-01-01,2099-12-31,
CDR04,Home and Hobbies,-1,,0.9093907475471497,2000000038,CDR Home and Hobbies,Concept Class,Rating Scales,S,0,0,Concept Class,2000000038,2019-01-01,2099-12-31,
HYPOTF,Hypothyreoidie,-1,,0.5148615837097168,2000000385,Hypothyroid Function,Concept Class,Clinical Information,S,0,0,Concept Class,2000000385,2019-01-01,2099-12-31,
NPI_TOT,NPI Totalscore,-1,,0.8414620757102966,2000000173,NPI Total,Concept Class,Rating Scales,S,0,0,Concept Class,2000000173,2019-01-01,2099-12-31,
DIGSPANAW,Digit span backwards,-1,,0.9572976231575012,2000000082,Digit Span Backward,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000082,2019-01-01,2099-12-31,
HYPETF,Hyperthyreoidie,-1,,0.5052732825279236,2000000384,Hyperthyroid Function,Concept Class,Clinical Information,S,0,0,Concept Class,2000000384,2019-01-01,2099-12-31,
IADL_QTOT,IADL totaalscore,-1,,0.5092611312866211,2000000138,IADL,Concept Class,Rating Scales,S,0,0,Concept Class,2000000138,2019-01-01,2099-12-31,
MRIDTSday,Day of MRI,-1,,0.4503236711025238,2000000481,Date MRI,Concept Class,Imaging,S,0,0,Concept Class,2000000481,2019-01-01,2099-12-31,
TOBACO,Smoking,-1,,1.0,2000000435,Smoking,Concept Class,Clinical Information,S,0,0,Concept Class,2000000435,2019-01-01,2099-12-31,
MRIDTSmon,Month of MRI,-1,,0.3552647829055786,2000000481,Date MRI,Concept Class,Imaging,S,0,0,Concept Class,2000000481,2019-01-01,2099-12-31,
STR3,Stroop 3 (sec),-1,,0.43835416436195374,2000000280,Stroop Part 3,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000280,2019-01-01,2099-12-31,
DELIR,Delirium,-1,,1.0,2000000469,Delirium,Concept Class,Clinical Information,S,0,0,Concept Class,2000000469,2019-01-01,2099-12-31,
