sourceCode,sourceName,translate,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
AD Switchbox Maastricht Original data file.csv,MRIDTSyr,Year of MRI,-1,,0.3961317539215088,2000000481,Date MRI,Concept Class,Imaging,S,0,0,Concept Class,2000000481,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,STR1,Stroop 1 (sec),-1,,0.44544732570648193,2000000276,Stroop Part 1,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000276,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,GDSSCORE,Totaal score Geriatric Depression Scale,-1,,0.7943065762519836,2000000564,Geriatric Depression Scale,Concept Class,Rating Scales,S,0,0,Concept Class,2000000564,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,PSYCHDIAGYN,Psychiatric disorders?,-1,,0.9382681846618652,2000000642,Psychiatric Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000410,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,STR2,Stroop 2 (sec),-1,,0.4483553171157837,2000000278,Stroop Part 2,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000278,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,DEPDS,Depression,-1,,1.0,2000000470,Depression,Concept Class,Clinical Information,S,0,0,Concept Class,2000000470,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,HDRSTOT,HDRS totoaalscore,-1,,0.2257409542798996,2000000121,HDS,Concept Class,Rating Scales,S,0,0,Concept Class,2000000121,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,TMTB,TMTB (sec),-1,,0.2355530709028244,2000000212,TMT-B,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000212,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,ALCOH,Does patient drink alcohol?,-1,,0.45596566796302795,2000000323,Alcohol,Concept Class,Clinical Information,S,0,0,Concept Class,2000000323,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,CDR01,Memory,-1,,1.0,2000000583,Memory,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000583,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,ENDODIAGYN,Endocrine disorders?,-1,,0.9405816793441772,2000000640,Endocrine Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000405,2019-01-01,2099-12-31,
