Filename	Category_Code (tranSMART)	Column	DataLabel	data_label_src	ControlVocab_cd	Data_type
Transmart.tsv		1	SUBJ_ID			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Baseline	2	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_12	3	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_18	4	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_24	5	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_30	6	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_36	7	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_42	8	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_48	9	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_54	10	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_60	11	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_72	12	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_78	13	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_84	14	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_96	15	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_108	16	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_114	17	Animals Fluency 1 min			
