Table,Value
Diagnosis,Subjective Memory Complaints
Diagnosis,Misuse of Substances 
Diagnosis,Others
Diagnosis,Unclear
Diagnosis,mild dementia
Diagnosis,moderate dementia
Diagnosis,severe dementia 
Diagnosis,depression with cognitive deficits
Diagnosis,depression without cognitive deficits
Diagnosis,cognitive impairment due to schizophrenia
Diagnosis,mild cognitive impairment
Etiology,Alzheimer
Etiology,Mixed type
Etiology,vascular
Etiology,Lewy Body
Etiology,FTD
Etiology,Parkinson
Etiology,NPH
Etiology,Other neurodegenerative diseases
Etiology,unclear
Etiology,SHT
ICD-10 / DSM-V,F00.1
ICD-10 / DSM-V,F00.2
ICD-10 / DSM-V,F02.0
ICD-10 / DSM-V,DSM-V: 331.83
ICD-10 / DSM-V,F06.7
ICD-10 / DSM-V,G20.0
ICD-10 / DSM-V,G31.84
ICD-10 / DSM-V,F00.0
ICD-10 / DSM-V,F01.2
20190510 EMIF Blood and CSF.csv,Date of puncture (Liquor)
20190510 EMIF Blood and CSF.csv,CSF t-tau
20190510 EMIF Blood and CSF.csv,CSF alpha Synuclein
20190510 EMIF Blood and CSF.csv,CSF beta 42 inno
20190510 EMIF Blood and CSF.csv,CSF beta 42 MSD
20190510 EMIF Blood and CSF.csv,CSF beta 40
20190510 EMIF Blood and CSF.csv,CSF beta 38
20190510 EMIF Blood and CSF.csv,CSF p-tau
20190510 EMIF Blood and CSF.csv,CSF Liquor - cell count
20190510 EMIF Blood and CSF.csv,CSF Liquor - erythrocytes
20190510 EMIF Blood and CSF.csv,CSF Liqour - protein
20190510 EMIF Blood and CSF.csv,CSF Liqour - lactate
20190510 EMIF Blood and CSF.csv,CSF Liqour - glucosis
20190510 EMIF Blood and CSF.csv,CSF Liqour - haemoglobin
20190510 EMIF Blood and CSF.csv,CSF_GesProt
20190510 EMIF Blood and CSF.csv,CSF Albumin in Liquor
20190510 EMIF Blood and CSF.csv,CSF IgG in Liquor
20190510 EMIF Blood and CSF.csv,CSF IgA in Liquor 
20190510 EMIF Blood and CSF.csv,CSF IgM in Liquor 
20190510 EMIF Blood and CSF.csv,CSF Albumin in Serum
20190510 EMIF Blood and CSF.csv,CSF IgG in Serum 
20190510 EMIF Blood and CSF.csv,CSF IgA in Serum 
20190510 EMIF Blood and CSF.csv,CSF IgM in Serum 
