sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
20190510 EMIF Blood and CSF.csv,CSF Liquor - erythrocytes,-1,,0.08824317902326584,UNCHECKED,0,seems like something went wrong
20190510 EMIF Blood and CSF.csv,CSF Liqour - protein,-1,,0.11858782172203064,UNCHECKED,2000000075,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,Date of puncture (Liquor),-1,,0.21656611561775208,APPROVED,2000000482,
20190510 EMIF Blood and CSF.csv,CSF Liqour - lactate,-1,,0.18862341344356537,UNCHECKED,2000000259,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF t-tau,-1,,0.44166815280914307,APPROVED,2000000075,
20190510 EMIF Blood and CSF.csv,CSF_GesProt,-1,,0.12165453284978867,UNCHECKED,2000000193,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF alpha Synuclein,-1,,0.15595713257789612,UNCHECKED,2000000175,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF Albumin in Liquor,-1,,0.6053526997566223,UNCHECKED,2000000008,albumin should be more specific
20190510 EMIF Blood and CSF.csv,CSF Liqour - glucosis,-1,,0.44293686747550964,UNCHECKED,2000000374,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF Liqour - haemoglobin,-1,,0.15912115573883057,UNCHECKED,2000000342,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF beta 38,-1,,0.40373101830482483,APPROVED,2000000068,
20190510 EMIF Blood and CSF.csv,Triglyceride,-1,,0.7981294989585876,UNCHECKED,2000000371,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF p-tau,-1,,0.2953321635723114,UNCHECKED,2000000075,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF Albumin ratio L/S,-1,,0.5887771844863892,UNCHECKED,2000000008,albumin should be more specific
20190510 EMIF Blood and CSF.csv,TSH,-1,,1.0,APPROVED,2000000447,
20190510 EMIF Blood and CSF.csv,Folsäure,-1,,0.07427090406417847,UNCHECKED,0,seems like something went wrong
20190510 EMIF Blood and CSF.csv,CSF Liquor - cell count,-1,,0.21758511662483215,UNCHECKED,2000000065,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF beta 42 inno,-1,,0.3469340205192566,UNCHECKED,2000000071,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,Vitamin B12,-1,,1.0,APPROVED,2000000458,
20190510 EMIF Blood and CSF.csv,CSF IgG ratio L/S,-1,,0.12188543379306793,UNCHECKED,2000000482,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,Date of blood sample,-1,,0.46410590410232544,APPROVED,2000000480,
20190510 EMIF Blood and CSF.csv,CSF beta 42 MSD,-1,,0.33798521757125854,UNCHECKED,2000000071,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF IgA ratio L/S,-1,,0.18358401954174042,UNCHECKED,2000000036,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,Cholesterin,-1,,0.7518925070762634,APPROVED,2000000358,
20190510 EMIF Blood and CSF.csv,CSF beta 40,-1,,0.4235958456993103,APPROVED,2000000069,
20190510 EMIF Blood and CSF.csv,CSF Albumin in Serum,-1,,0.6450435519218445,UNCHECKED,2000000008,albumin should be more specific
20190510 EMIF Blood and CSF.csv,CRP,-1,,0.1197088211774826,UNCHECKED,2000000140,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF IgM ratio L/S ,-1,,0.1147027537226677,UNCHECKED,2000000482,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,Hb1Ac,-1,,0.10538627952337265,UNCHECKED,2000000458,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF IgG in Serum ,-1,,0.4903160631656647,UNCHECKED,2000000431,serum is too broad
20190510 EMIF Blood and CSF.csv,Apo-E,-1,,0.1962198168039322,UNCHECKED,2000000320,not the same
20190510 EMIF Blood and CSF.csv,CSF IgG in Liquor,-1,,0.13996800780296326,UNCHECKED,2000000092,incorrect; no good option available
20190510 EMIF Blood and CSF.csv,CSF IgA in Serum ,-1,,0.4871639907360077,UNCHECKED,2000000431,serum is too broad
20190510 EMIF Blood and CSF.csv,CSF IgM in Serum ,-1,,0.4905182123184204,UNCHECKED,2000000431,serum is too broad
