Table,Value
20190510 EMIF Blood and CSF.csv,Date of puncture (Liquor)
20190510 EMIF Blood and CSF.csv,Patient ID
20190510 EMIF Diagnosis.csv,Patient ID
20190510 EMIF Diagnosis.csv,Number of Visit
20190510 EMIF Neuropsychology.csv,Date of neuropsychological testing
20190510 EMIF Neuropsychology.csv,Patient ID
20190510 EMIF Patient Data.csv,Sex
20190510 EMIF Patient Data.csv,Date of birth
20190510 EMIF Patient Data.csv,Date of Admission
20190510 EMIF Patient Data.csv,Years of Education
20190510 EMIF Patient Data.csv,Patient ID
20190510 EMIF Sleep.csv,Date of 
20190510 EMIF Sleep.csv,Patient ID
