sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
20190510 EMIF Diagnosis.csv,Heart Rate,-1,,0.4609059691429138,2000000421,Pulse Rate,Concept Class,Clinical Information,S,0,0,Concept Class,2000000421,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,Apo-E,-1,,0.1962198168039322,2000000013,ApoE Genotype,Concept Class,Pharmacogenetics Findings,S,0,0,Concept Class,2000000013,2019-01-01,2099-12-31,
Diagnosis,Subjective Memory Complaints,-1,,0.0,2000000256,SCI,Concept Class,_Concepts,S,0,0,Concept Class,2000000256,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,Date of puncture (Liquor),-1,,0.21656611561775208,2000000482,Date CSF Collection,Concept Class,Laboratory Test Results,S,0,0,Concept Class,2000000482,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF t-tau,-1,,0.44166815280914307,2000000075,Total Tau (pg/mL),Concept Class,Laboratory Test Results,S,0,0,Concept Class,2000000075,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF beta 38,-1,,0.40373101830482483,2000000068,Amyloid Beta 1-38 (pg/mL),Concept Class,Laboratory Test Results,S,0,0,Concept Class,2000000068,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF p-tau,-1,,0.2953321635723114,2000000073,Phosphorylated Tau (pg/mL),Concept Class,Laboratory Test Results,S,0,0,Concept Class,2000000073,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,Date of blood sample,-1,,0.46410590410232544,2000000480,Date Blood Collection,Concept Class,Laboratory Test Results,S,0,0,Concept Class,2000000480,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,Cholesterin,-1,,0.7518925070762634,2000000358,Cholesterol,Concept Class,Clinical Information,S,0,0,Concept Class,2000000358,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF beta 40,-1,,0.4235958456993103,2000000069,Amyloid Beta 1-40 (pg/mL),Concept Class,Laboratory Test Results,S,0,0,Concept Class,2000000069,2019-01-01,2099-12-31,
