sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
Patient Data.csv,Date of birth,-1,,0.36918920278549194,2000000007,birth_datetime,BD Mapping,person,S,0,0,person,2000000007,2016-01-01,2099-12-31,
Patient Data.csv,Date of birth,-1,,0.36918920278549194,2000000005,month_of_birth,BD Mapping,person,S,0,0,person,2000000005,2016-01-01,2099-12-31,
Patient Data.csv,Date of birth,-1,,0.36918920278549194,2000000006,day_of_birth,BD Mapping,person,S,0,0,person,2000000006,2016-01-01,2099-12-31,
Patient Data.csv,Date of birth,-1,,0.36918920278549194,2000000004,year_of_birth,BD Mapping,person,S,0,0,person,2000000004,2016-01-01,2099-12-31,
Patient Data.csv,Sex,-1,,0.06784379482269287,2000000015,gender_source_value,BD Mapping,person,S,0,0,person,2000000015,2016-01-01,2099-12-31,
Patient Data.csv,Sex,-1,,0.06784379482269287,2000000003,gender_concept_id,BD Mapping,person,S,0,0,person,2000000003,2016-01-01,2099-12-31,
Blood and CSF.csv,Patient ID,-1,,0.058179426938295364,2000000022,person_id,BD Mapping,observation,S,0,0,observation,2000000022,2016-01-01,2099-12-31,
Sleep.csv,Date of ,-1,,0.17010259628295898,2000000024,observation_date,BD Mapping,observation,S,0,0,observation,2000000024,2016-01-01,2099-12-31,
Patient Data.csv,Date of Admission,-1,,0.21070009469985962,2000000024,observation_date,BD Mapping,observation,S,0,0,observation,2000000024,2016-01-01,2099-12-31,
Patient Data.csv,Patient ID,-1,,0.058179426938295364,2000000014,person_source_value,BD Mapping,person,S,0,0,person,2000000014,2016-01-01,2099-12-31,
Patient Data.csv,Patient ID,-1,,0.058179426938295364,2000000002,person_id,BD Mapping,person,S,0,0,person,2000000002,2016-01-01,2099-12-31,
Patient Data.csv,Patient ID,-1,,0.058179426938295364,2000000022,person_id,BD Mapping,observation,S,0,0,observation,2000000022,2016-01-01,2099-12-31,
Blood and CSF.csv,Date of puncture (Liquor),-1,,0.06560302525758743,2000000024,observation_date,BD Mapping,observation,S,0,0,observation,2000000024,2016-01-01,2099-12-31,
Diagnosis.csv,Date of Diagnosis,-1,,0.06560302525758743,2000000024,observation_date,BD Mapping,observation,S,0,0,observation,2000000024,2016-01-01,2099-12-31,
Diagnosis.csv,Patient ID,-1,,0.058179426938295364,2000000022,person_id,BD Mapping,observation,S,0,0,observation,2000000022,2016-01-01,2099-12-31,
Neuropsychology.csv,Patient ID,-1,,0.058179426938295364,2000000022,person_id,BD Mapping,observation,S,0,0,observation,2000000022,2016-01-01,2099-12-31,
Sleep.csv,Patient ID,-1,,0.058179426938295364,2000000022,person_id,BD Mapping,observation,S,0,0,observation,2000000022,2016-01-01,2099-12-31,
Neuropsychology.csv,Date of neuropsychological testing,-1,,0.08503590524196625,2000000024,observation_date,BD Mapping,observation,S,0,0,observation,2000000024,2016-01-01,2099-12-31,
