Filename	Category_Code (tranSMART)	Column	DataLabel	data_label_src	ControlVocab_cd	Data_type
Transmart.tsv		1	SUBJ_ID			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Baseline	2	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_12	3	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_24	4	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_36	5	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_48	6	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_60	7	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_72	8	Animals Fluency 1 min			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Baseline	9	Animals Fluency 1 min Z-score			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_12	10	Animals Fluency 1 min Z-score			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_24	11	Animals Fluency 1 min Z-score			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_36	12	Animals Fluency 1 min Z-score			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_48	13	Animals Fluency 1 min Z-score			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_60	14	Animals Fluency 1 min Z-score			
Transmart.tsv	Neuropsychological_Examination+Language+Fluency+Category_Fluency+Month_72	15	Animals Fluency 1 min Z-score			
Transmart.tsv	Pharmacogenetics_Findings	16	ApoE Genotype			
Transmart.tsv	Pharmacogenetics_Findings	17	ApoE4 Carrier			
